metrics_version,mnist_size,usps_size,mnist28_size,mnist32_size,num_epochs,batch_size,seed,groups,train_dataset_summary,test_dataset_summary,epoch,train_loss,train_acc,test_acc,worst_group_acc,per_group_acc,per_class_acc,per_group_by_class_acc
1.0,,,,,10,128,1337,"[""mnist28"", ""usps16""]","{""total"": 5500, ""class_counts"": [550, 550, 550, 550, 550, 550, 550, 550, 550, 550], ""group_counts"": [500, 5000], ""group_class_counts"": [[50, 50, 50, 50, 50, 50, 50, 50, 50, 50], [500, 500, 500, 500, 500, 500, 500, 500, 500, 500]]}","{""total"": 73798, ""class_counts"": [7906, 8596, 7369, 7415, 7126, 6479, 7160, 7535, 6983, 7229], ""group_counts"": [69500, 4298], ""group_class_counts"": [[6853, 7827, 6940, 7091, 6774, 6263, 6826, 7243, 6775, 6908], [1053, 769, 429, 324, 352, 216, 334, 292, 208, 321]]}",1,1.317907078742981,0.6583636361468922,0.7065503130166129,0.1826430898092136,"[0.7389496402877698, 0.1826430898092136]","[0.7482924361244624, 0.8563285248953001, 0.8068937440629664, 0.6165879973027647, 0.8474600056132473, 0.48217317487266553, 0.8058659217877095, 0.6544127405441275, 0.49062007733066015, 0.6995435053257713]","[[0.8632715599007734, 0.9402069758528172, 0.8269452449567724, 0.6348892962910732, 0.8619722468260997, 0.49385278620469425, 0.8452973923234691, 0.6437940080077316, 0.5049446494464944, 0.7317602779386219], [0.0, 0.002600780234070221, 0.4825174825174825, 0.21604938271604937, 0.5681818181818182, 0.14351851851851852, 0.0, 0.9178082191780822, 0.02403846153846154, 0.006230529595015576]]"
1.0,,,,,10,128,1337,"[""mnist28"", ""usps16""]","{""total"": 5500, ""class_counts"": [550, 550, 550, 550, 550, 550, 550, 550, 550, 550], ""group_counts"": [500, 5000], ""group_class_counts"": [[50, 50, 50, 50, 50, 50, 50, 50, 50, 50], [500, 500, 500, 500, 500, 500, 500, 500, 500, 500]]}","{""total"": 73798, ""class_counts"": [7906, 8596, 7369, 7415, 7126, 6479, 7160, 7535, 6983, 7229], ""group_counts"": [69500, 4298], ""group_class_counts"": [[6853, 7827, 6940, 7091, 6774, 6263, 6826, 7243, 6775, 6908], [1053, 769, 429, 324, 352, 216, 334, 292, 208, 321]]}",2,0.48728610548106105,0.9007272731174122,0.7925824548090734,0.06468124709167054,"[0.8375971223021583, 0.06468124709167054]","[0.8402479129774855, 0.8864588180549092, 0.7855882752069481, 0.6418071476736346, 0.9021891664327814, 0.5801821268714308, 0.8534916201117319, 0.7968148639681486, 0.8046684805957325, 0.7965140406695255]","[[0.9693564862104188, 0.9660150760189089, 0.8273775216138328, 0.6711324213792131, 0.9402125775022143, 0.5993932620150088, 0.8940814532669206, 0.8160983018086428, 0.8286346863468634, 0.8333815865662999], [0.0, 0.07672301690507152, 0.10955710955710955, 0.0, 0.17045454545454544, 0.023148148148148147, 0.023952095808383235, 0.3184931506849315, 0.02403846153846154, 0.003115264797507788]]"
1.0,,,,,10,128,1337,"[""mnist28"", ""usps16""]","{""total"": 5500, ""class_counts"": [550, 550, 550, 550, 550, 550, 550, 550, 550, 550], ""group_counts"": [500, 5000], ""group_class_counts"": [[50, 50, 50, 50, 50, 50, 50, 50, 50, 50], [500, 500, 500, 500, 500, 500, 500, 500, 500, 500]]}","{""total"": 73798, ""class_counts"": [7906, 8596, 7369, 7415, 7126, 6479, 7160, 7535, 6983, 7229], ""group_counts"": [69500, 4298], ""group_class_counts"": [[6853, 7827, 6940, 7091, 6774, 6263, 6826, 7243, 6775, 6908], [1053, 769, 429, 324, 352, 216, 334, 292, 208, 321]]}",3,0.33144648188894443,0.9401818175315857,0.8558226510203528,0.19567240577012565,"[0.8966474820143885, 0.19567240577012565]","[0.8351884644573742, 0.9704513727315031, 0.8176143303026191, 0.8385704652730951, 0.9334830199270278, 0.869887328291403, 0.9068435754189944, 0.7523556735235567, 0.8048116855219819, 0.8161571448333103]","[[0.9635196264409748, 0.9676759933563307, 0.8628242074927954, 0.8768861937667466, 0.9806613522291113, 0.8995688966948746, 0.9507764430120129, 0.77992544525749, 0.829520295202952, 0.8537927041111755], [0.0, 0.9986996098829649, 0.08624708624708624, 0.0, 0.02556818181818182, 0.009259259259259259, 0.008982035928143712, 0.0684931506849315, 0.0, 0.006230529595015576]]"
1.0,,,,,10,128,1337,"[""mnist28"", ""usps16""]","{""total"": 5500, ""class_counts"": [550, 550, 550, 550, 550, 550, 550, 550, 550, 550], ""group_counts"": [500, 5000], ""group_class_counts"": [[50, 50, 50, 50, 50, 50, 50, 50, 50, 50], [500, 500, 500, 500, 500, 500, 500, 500, 500, 500]]}","{""total"": 73798, ""class_counts"": [7906, 8596, 7369, 7415, 7126, 6479, 7160, 7535, 6983, 7229], ""group_counts"": [69500, 4298], ""group_class_counts"": [[6853, 7827, 6940, 7091, 6774, 6263, 6826, 7243, 6775, 6908], [1053, 769, 429, 324, 352, 216, 334, 292, 208, 321]]}",4,0.2531672301292419,0.955090908614072,0.8725981733922329,0.19846440204746393,"[0.9142877697841727, 0.19846440204746393]","[0.8446749304325828, 0.9826663564448581, 0.8471977201791288, 0.8200944032366824, 0.8721582935728319, 0.8559962957246489, 0.9258379888268157, 0.8157929661579296, 0.8440498353143349, 0.9013694840226864]","[[0.9744637385086823, 0.9818576721604702, 0.8939481268011528, 0.8575659286419405, 0.9158547387068202, 0.8848794507424557, 0.96703779665983, 0.8477150352064062, 0.8699630996309963, 0.9429646786334684], [0.0, 0.9908972691807543, 0.09090909090909091, 0.0, 0.03125, 0.018518518518518517, 0.08383233532934131, 0.023972602739726026, 0.0, 0.006230529595015576]]"
1.0,,,,,10,128,1337,"[""mnist28"", ""usps16""]","{""total"": 5500, ""class_counts"": [550, 550, 550, 550, 550, 550, 550, 550, 550, 550], ""group_counts"": [500, 5000], ""group_class_counts"": [[50, 50, 50, 50, 50, 50, 50, 50, 50, 50], [500, 500, 500, 500, 500, 500, 500, 500, 500, 500]]}","{""total"": 73798, ""class_counts"": [7906, 8596, 7369, 7415, 7126, 6479, 7160, 7535, 6983, 7229], ""group_counts"": [69500, 4298], ""group_class_counts"": [[6853, 7827, 6940, 7091, 6774, 6263, 6826, 7243, 6775, 6908], [1053, 769, 429, 324, 352, 216, 334, 292, 208, 321]]}",5,0.2007720992673527,0.9672727267958902,0.8873275698528416,0.18845974872033505,"[0.9305467625899281, 0.18845974872033505]","[0.8136858082469011, 0.958236389018148, 0.8440765368435337, 0.8405933917734323, 0.8991018804378332, 0.9073931162216391, 0.9375698324022347, 0.8870603848706039, 0.9027638550766146, 0.8815880481394384]","[[0.9387129724208376, 0.9628210042161748, 0.8902017291066282, 0.8790015512621633, 0.9441984056687334, 0.937250518920645, 0.9786111924992675, 0.9214413916885269, 0.9301845018450184, 0.9222640416907932], [0.0, 0.9115734720416124, 0.0979020979020979, 0.0, 0.03125, 0.041666666666666664, 0.09880239520958084, 0.03424657534246575, 0.009615384615384616, 0.006230529595015576]]"
1.0,,,,,10,128,1337,"[""mnist28"", ""usps16""]","{""total"": 5500, ""class_counts"": [550, 550, 550, 550, 550, 550, 550, 550, 550, 550], ""group_counts"": [500, 5000], ""group_class_counts"": [[50, 50, 50, 50, 50, 50, 50, 50, 50, 50], [500, 500, 500, 500, 500, 500, 500, 500, 500, 500]]}","{""total"": 73798, ""class_counts"": [7906, 8596, 7369, 7415, 7126, 6479, 7160, 7535, 6983, 7229], ""group_counts"": [69500, 4298], ""group_class_counts"": [[6853, 7827, 6940, 7091, 6774, 6263, 6826, 7243, 6775, 6908], [1053, 769, 429, 324, 352, 216, 334, 292, 208, 321]]}",6,0.1664970804236152,0.9763636357134039,0.8883845090652863,0.18171242438343416,"[0.9320863309352518, 0.18171242438343416]","[0.8308879332152795, 0.9694043741275011, 0.8447550549599674, 0.8293998651382333, 0.9021891664327814, 0.8899521531100478, 0.9428770949720671, 0.872063702720637, 0.88801374767292, 0.90828606999585]","[[0.9585582956369473, 0.976874920148205, 0.8906340057636888, 0.8672965731208574, 0.9481842338352524, 0.9204853903879929, 0.9863756226193964, 0.9043214137788209, 0.915129151291513, 0.9500579038795599], [0.0, 0.893368010403121, 0.10256410256410256, 0.0, 0.017045454545454544, 0.004629629629629629, 0.05389221556886228, 0.07191780821917808, 0.004807692307692308, 0.009345794392523364]]"
1.0,,,,,10,128,1337,"[""mnist28"", ""usps16""]","{""total"": 5500, ""class_counts"": [550, 550, 550, 550, 550, 550, 550, 550, 550, 550], ""group_counts"": [500, 5000], ""group_class_counts"": [[50, 50, 50, 50, 50, 50, 50, 50, 50, 50], [500, 500, 500, 500, 500, 500, 500, 500, 500, 500]]}","{""total"": 73798, ""class_counts"": [7906, 8596, 7369, 7415, 7126, 6479, 7160, 7535, 6983, 7229], ""group_counts"": [69500, 4298], ""group_class_counts"": [[6853, 7827, 6940, 7091, 6774, 6263, 6826, 7243, 6775, 6908], [1053, 769, 429, 324, 352, 216, 334, 292, 208, 321]]}",7,0.1408870257139206,0.9796363629861311,0.8930052304940513,0.1742671009771987,"[0.9374532374100719, 0.1742671009771987]","[0.8382241335694409, 0.9488134015821312, 0.8611751933776631, 0.8523263654753878, 0.903873140611844, 0.9151103565365025, 0.9332402234636872, 0.8813536828135369, 0.8777029929829586, 0.9172776317609628]","[[0.9670217423026412, 0.9775137345087518, 0.9070605187319885, 0.8912706247355803, 0.9461175081192796, 0.9461919208047261, 0.9740697333723997, 0.9012839983432279, 0.9031734317343173, 0.9596120440069484], [0.0, 0.6566970091027308, 0.11888111888111888, 0.0, 0.09090909090909091, 0.013888888888888888, 0.09880239520958084, 0.386986301369863, 0.04807692307692308, 0.006230529595015576]]"
1.0,,,,,10,128,1337,"[""mnist28"", ""usps16""]","{""total"": 5500, ""class_counts"": [550, 550, 550, 550, 550, 550, 550, 550, 550, 550], ""group_counts"": [500, 5000], ""group_class_counts"": [[50, 50, 50, 50, 50, 50, 50, 50, 50, 50], [500, 500, 500, 500, 500, 500, 500, 500, 500, 500]]}","{""total"": 73798, ""class_counts"": [7906, 8596, 7369, 7415, 7126, 6479, 7160, 7535, 6983, 7229], ""group_counts"": [69500, 4298], ""group_class_counts"": [[6853, 7827, 6940, 7091, 6774, 6263, 6826, 7243, 6775, 6908], [1053, 769, 429, 324, 352, 216, 334, 292, 208, 321]]}",8,0.11867536294460297,0.9841818185286089,0.8905525895010705,0.22684969753373663,"[0.9315971223021583, 0.22684969753373663]","[0.849228434100683, 0.9819683573755235, 0.8611751933776631, 0.8295347269049225, 0.9096267190569745, 0.8806914647322117, 0.95, 0.8670205706702057, 0.8482027781755692, 0.9161709780052566]","[[0.979716912301182, 0.9841574038584388, 0.9073487031700288, 0.8674375969538852, 0.955565397106584, 0.9109053169407633, 0.981394667447993, 0.89410465276819, 0.8727675276752768, 0.9575854082223509], [0.0, 0.9596879063719116, 0.11421911421911422, 0.0, 0.02556818181818182, 0.004629629629629629, 0.3083832335329341, 0.1952054794520548, 0.04807692307692308, 0.024922118380062305]]"
1.0,,,,,10,128,1337,"[""mnist28"", ""usps16""]","{""total"": 5500, ""class_counts"": [550, 550, 550, 550, 550, 550, 550, 550, 550, 550], ""group_counts"": [500, 5000], ""group_class_counts"": [[50, 50, 50, 50, 50, 50, 50, 50, 50, 50], [500, 500, 500, 500, 500, 500, 500, 500, 500, 500]]}","{""total"": 73798, ""class_counts"": [7906, 8596, 7369, 7415, 7126, 6479, 7160, 7535, 6983, 7229], ""group_counts"": [69500, 4298], ""group_class_counts"": [[6853, 7827, 6940, 7091, 6774, 6263, 6826, 7243, 6775, 6908], [1053, 769, 429, 324, 352, 216, 334, 292, 208, 321]]}",9,0.10796719805218957,0.9865454547188499,0.8979782649936313,0.19101907864122847,"[0.9416978417266187, 0.19101907864122847]","[0.8461927649886163, 0.9664960446719404, 0.8626679332338173, 0.8710721510451787, 0.8874543923659837, 0.9195863559191233, 0.9398044692737431, 0.9132050431320504, 0.8656737791780037, 0.901646147461613]","[[0.9762147964395156, 0.9803245176951578, 0.9076368876080692, 0.9108729375264419, 0.9322409211691762, 0.9503432859651924, 0.982420158218576, 0.9403562059919923, 0.8909225092250922, 0.9419513607411697], [0.0, 0.8257477243172952, 0.1351981351981352, 0.0, 0.02556818181818182, 0.027777777777777776, 0.0688622754491018, 0.23972602739726026, 0.04326923076923077, 0.03426791277258567]]"
1.0,,,,,10,128,1337,"[""mnist28"", ""usps16""]","{""total"": 5500, ""class_counts"": [550, 550, 550, 550, 550, 550, 550, 550, 550, 550], ""group_counts"": [500, 5000], ""group_class_counts"": [[50, 50, 50, 50, 50, 50, 50, 50, 50, 50], [500, 500, 500, 500, 500, 500, 500, 500, 500, 500]]}","{""total"": 73798, ""class_counts"": [7906, 8596, 7369, 7415, 7126, 6479, 7160, 7535, 6983, 7229], ""group_counts"": [69500, 4298], ""group_class_counts"": [[6853, 7827, 6940, 7091, 6774, 6263, 6826, 7243, 6775, 6908], [1053, 769, 429, 324, 352, 216, 334, 292, 208, 321]]}",10,0.09523880850455978,0.9863636363636363,0.890999756090951,0.178687761749651,"[0.9350503597122302, 0.178687761749651]","[0.84227169238553, 0.9397394136807817, 0.8651105984529787, 0.8200944032366824, 0.9037328094302554, 0.9132582188609353, 0.9516759776536313, 0.8777704047777041, 0.8795646570242016, 0.9176926269193526]","[[0.9716912301181964, 0.9764916315318768, 0.911671469740634, 0.8575659286419405, 0.9394744611750812, 0.9445952418968545, 0.9869616173454439, 0.9000414193013945, 0.904649446494465, 0.9570063694267515], [0.0, 0.5656697009102731, 0.11188811188811189, 0.0, 0.2159090909090909, 0.004629629629629629, 0.23053892215568864, 0.3253424657534247, 0.0625, 0.07165109034267912]]"
